wavelength_A,flux,ivar
3874.3610708323085,0.06781269,3.1873956
3875.252362505165,0.327357,2.9050226
3876.143859218499,-0.67491853,3.2484913
3877.0376894314263,0.4487243,2.9520423
3877.929596856874,0.8943747,2.7489772
3878.8238388569566,-0.15697345,3.1784158
3879.7161571837323,-0.0556015,3.2849913
3880.6108111606804,-0.52352047,3.6767132
3881.5035405780864,1.1288729,2.7615907
3882.396475366721,0.50642604,2.936246
3883.2917474191227,0.11587849,3.1963465
3884.1850935823913,0.39548144,3.2626948
3885.080778086203,-0.7786597,3.777885
3885.9745358136256,-0.731607,3.8869648
3886.8706329588636,-0.1496534,3.5015085
3887.7648024400473,0.0073328726,3.0770488
3888.6591776237456,1.1421537,2.4927235
3889.5558938414556,-0.9773758,2.8179243
3890.4506810633766,-0.14554198,2.26565
3891.3478103978227,0.12877992,2.1211083
3892.243009847793,1.0393206,1.9188216
3893.1405524892984,0.39355516,2.0683343
3894.0361643572305,0.25465527,2.1817706
3894.9341204962057,0.8106206,2.4138987
3895.8301449721007,0.29697296,2.8735714
3896.726375577249,-0.29665232,3.0755687
3897.62495207299,0.75643784,2.7485678
3898.5215955711533,-0.28037363,3.568802
3899.420586040659,-0.41710243,2.9185386
3900.317642622057,0.8217386,2.5691967
3901.217047256046,-0.08176708,3.0394802
3902.114517110986,-0.18720515,3.2362185
3903.0121934276863,0.18675725,3.0872476
3903.91221941914,0.23690799,2.7155316
3904.810309294894,-0.13703658,2.3574097
3905.710749927895,-0.9018983,2.34697
3906.6092535532293,0.52259713,1.9789963
3907.510109018803,0.89844435,2.121455
3908.4090265843315,0.7766612,2.3606462
3909.3081509446642,0.13197616,2.5501359
3910.2096287700156,0.27063456,2.6338859
3911.109167356515,-0.14128204,2.9576795
3912.0110604922734,-0.31601492,3.1407733
3912.911013495773,0.02325244,3.0716705
3913.8133221332714,0.029114353,3.1671288
3914.7136897446935,0.5077511,2.9926932
3915.614264484501,-0.50978506,3.51057
3916.517196485707,0.86838675,2.9759192
3917.4181861198704,0.95429367,3.0905123
3918.321534101421,0.3032811,3.3200183
3919.2229388210817,-0.37495553,3.4796402
3920.126702974619,0.12864354,3.3912528
3921.028522971007,0.6117284,3.3616862
3921.9305504298995,-0.025684627,3.5731091
3922.834938952694,0.32837194,3.1990845
